player,duration
Dalvin Cook,B
Todd Gurley II,AB
Adam Thielen,B
DeAndre Hopkins,B
Melvin Gordon III,AB
Davante Adams,AB
Kenyan Drake,B
Golden Tate,AB
Corey Clement,B
Devonta Freeman,AB
Keelan Cole,B
Will Fuller V,B
Jimmy Garoppolo,B
Peyton Barber,B
Chris Thompson,B
Russell Wilson,B
Kyle Rudolph,AB
Sammy Watkins,B
Tyler Lockett,B
Le'Veon Bell,AB
Josh Gordon,B
Odell Beckham Jr.,AB
Stefon Diggs,AB
Amari Cooper,AB
Doug Baldwin,AB
Marvin Jones Jr.,B
Carson Wentz,B
Mike Wallace,B
David Johnson,AB
Deshaun Watson,AB
Ezekiel Elliott,B
Marquise Goodwin,B
Kirk Cousins,AB
Michael Thomas,AB
Andrew Luck,B
Mike Evans,AB
Alvin Kamara,B
Allen Robinson II,B
Derrick Henry,B
Tarik Cohen,B
JuJu Smith-Schuster,B
Evan Engram,B
